,stopping_criteria,answer_how,sampling_strategy,aggregation_strategy,k,model,accuracy,entropy,length
46,end_token,answer_first,nucleus,element_wise_max,4,Qwen_Qwen3_0_6B,0.16,2.247016625650398,200.0
47,end_token,answer_first,nucleus,element_wise_max,4,Qwen_Qwen3_1_7B,0.62,0.14048813997021858,200.0
48,end_token,answer_first,nucleus,element_wise_max,4,Qwen_Qwen3_4B,0.62,0.09068463136184837,200.0
49,end_token,answer_first,nucleus,element_wise_max,8,microsoft_phi_4_mini_instruct,0.66,5.25148482564132,194.62
50,end_token,answer_first,nucleus,element_wise_max,8,microsoft_phi_4_mini_reasoning,0.46,0.8550985341122038,188.88
51,end_token,answer_first,nucleus,element_wise_max,8,Qwen_Qwen2_5_3B_Instruct,0.76,2.129024107454442,200.0
52,end_token,answer_first,nucleus,element_wise_max,8,Qwen_Qwen2_5_0_5B_Instruct,0.1,3.3256048696079623,196.44
53,end_token,answer_first,nucleus,element_wise_max,8,Qwen_Qwen3_0_6B,0.24,2.247016625650398,200.0
54,end_token,answer_first,nucleus,element_wise_max,8,Qwen_Qwen3_1_7B,0.52,0.14048813997021858,200.0
55,end_token,answer_first,nucleus,element_wise_max,8,Qwen_Qwen3_4B,0.64,0.09068463136184837,200.0
56,end_token,answer_first,nucleus,dirichlet,1,microsoft_phi_4_mini_instruct,0.76,0.499144866848378,199.88
57,end_token,answer_first,nucleus,dirichlet,1,microsoft_phi_4_mini_reasoning,0.52,0.10680714550993187,200.0
58,end_token,answer_first,nucleus,dirichlet,1,Qwen_Qwen2_5_3B_Instruct,0.76,0.28661310757214803,200.0
59,end_token,answer_first,nucleus,dirichlet,1,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.29941002022091184,200.0
60,end_token,answer_first,nucleus,dirichlet,1,Qwen_Qwen3_0_6B,0.56,0.33784513528666454,200.0
61,end_token,answer_first,nucleus,dirichlet,1,Qwen_Qwen3_1_7B,0.6,0.10702913211488065,200.0
62,end_token,answer_first,nucleus,dirichlet,1,Qwen_Qwen3_4B,0.64,0.08711835429783077,200.0
63,end_token,answer_first,nucleus,dirichlet,2,microsoft_phi_4_mini_instruct,0.66,0.5697207789783042,198.06
64,end_token,answer_first,nucleus,dirichlet,2,microsoft_phi_4_mini_reasoning,0.56,0.11413471479231044,200.0
65,end_token,answer_first,nucleus,dirichlet,2,Qwen_Qwen2_5_3B_Instruct,0.6,0.26507768568291135,200.0
66,end_token,answer_first,nucleus,dirichlet,2,Qwen_Qwen2_5_0_5B_Instruct,0.3,0.2861384973959715,200.0
67,end_token,answer_first,nucleus,dirichlet,2,Qwen_Qwen3_0_6B,0.54,0.33658962644170803,200.0
68,end_token,answer_first,nucleus,dirichlet,2,Qwen_Qwen3_1_7B,0.64,0.10028664272396713,200.0
69,end_token,answer_first,nucleus,dirichlet,2,Qwen_Qwen3_4B,0.58,0.08689006253866594,200.0
70,end_token,answer_first,nucleus,dirichlet,4,microsoft_phi_4_mini_instruct,0.68,0.489223329270737,194.36
71,end_token,answer_first,nucleus,dirichlet,4,microsoft_phi_4_mini_reasoning,0.64,0.11067315718613933,200.0
72,end_token,answer_first,nucleus,dirichlet,4,Qwen_Qwen2_5_3B_Instruct,0.82,0.26831366777090143,200.0
73,end_token,answer_first,nucleus,dirichlet,4,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.28449523071409355,200.0
74,end_token,answer_first,nucleus,dirichlet,4,Qwen_Qwen3_0_6B,0.34,0.33683418868667514,200.0
75,end_token,answer_first,nucleus,dirichlet,4,Qwen_Qwen3_1_7B,0.62,0.09455785402752896,200.0
76,end_token,answer_first,nucleus,dirichlet,4,Qwen_Qwen3_4B,0.68,0.07955356988497285,200.0
77,end_token,answer_first,nucleus,dirichlet,8,microsoft_phi_4_mini_instruct,0.68,0.5331968028684989,194.88
78,end_token,answer_first,nucleus,dirichlet,8,microsoft_phi_4_mini_reasoning,0.62,0.11496317626792611,200.0
79,end_token,answer_first,nucleus,dirichlet,8,Qwen_Qwen2_5_3B_Instruct,0.86,0.25867607824908057,200.0
80,end_token,answer_first,nucleus,dirichlet,8,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.29606743058361024,200.0
81,end_token,answer_first,nucleus,dirichlet,8,Qwen_Qwen3_0_6B,0.4,0.338956337927542,200.0
82,end_token,answer_first,nucleus,dirichlet,8,Qwen_Qwen3_1_7B,0.66,0.0935768305655095,200.0
83,end_token,answer_first,nucleus,dirichlet,8,Qwen_Qwen3_4B,0.58,0.08310141925239486,200.0
84,end_token,answer_first,nucleus,second_moment,1,microsoft_phi_4_mini_instruct,0.02,4.8224733266356425,50.44
85,end_token,answer_first,nucleus,second_moment,1,microsoft_phi_4_mini_reasoning,0.0,4.016769316091056,51.1
86,end_token,answer_first,nucleus,second_moment,1,Qwen_Qwen2_5_3B_Instruct,0.86,2.6259449183426486,200.0
87,end_token,answer_first,nucleus,second_moment,1,Qwen_Qwen2_5_0_5B_Instruct,0.08,6.096804208937941,200.0
88,end_token,answer_first,nucleus,second_moment,1,Qwen_Qwen3_0_6B,0.04,1.8719162482451563,200.0
89,end_token,answer_first,nucleus,second_moment,1,Qwen_Qwen3_1_7B,0.54,0.36584127902648295,200.0
90,end_token,answer_first,nucleus,second_moment,1,Qwen_Qwen3_4B,0.68,1.4936241363036475,200.0
91,end_token,answer_first,nucleus,second_moment,2,microsoft_phi_4_mini_instruct,0.0,4.8224733266356425,50.44
92,end_token,answer_first,nucleus,second_moment,2,microsoft_phi_4_mini_reasoning,0.02,4.016769316091056,51.1
93,end_token,answer_first,nucleus,second_moment,2,Qwen_Qwen2_5_3B_Instruct,0.84,2.6259449183426486,200.0
94,end_token,answer_first,nucleus,second_moment,2,Qwen_Qwen2_5_0_5B_Instruct,0.02,6.096804208937941,200.0
95,end_token,answer_first,nucleus,second_moment,2,Qwen_Qwen3_0_6B,0.02,1.8719162482451563,200.0
96,end_token,answer_first,nucleus,second_moment,2,Qwen_Qwen3_1_7B,0.56,0.36584127902648295,200.0
97,end_token,answer_first,nucleus,second_moment,2,Qwen_Qwen3_4B,0.74,1.4936241363036475,200.0
98,end_token,answer_first,nucleus,second_moment,4,microsoft_phi_4_mini_instruct,0.0,4.8224733266356425,50.44
99,end_token,answer_first,nucleus,second_moment,4,microsoft_phi_4_mini_reasoning,0.04,4.016769316091056,51.1
100,end_token,answer_first,nucleus,second_moment,4,Qwen_Qwen2_5_3B_Instruct,0.76,2.6259449183426486,200.0
101,end_token,answer_first,nucleus,second_moment,4,Qwen_Qwen2_5_0_5B_Instruct,0.06,6.096804208937941,200.0
102,end_token,answer_first,nucleus,second_moment,4,Qwen_Qwen3_0_6B,0.02,1.8719162482451563,200.0
103,end_token,answer_first,nucleus,second_moment,4,Qwen_Qwen3_1_7B,0.46,0.36584127902648295,200.0
104,end_token,answer_first,nucleus,second_moment,4,Qwen_Qwen3_4B,0.74,1.4936241363036475,200.0
105,end_token,answer_first,nucleus,second_moment,8,microsoft_phi_4_mini_instruct,0.02,4.8224733266356425,50.44
106,end_token,answer_first,nucleus,second_moment,8,microsoft_phi_4_mini_reasoning,0.0,4.016769316091056,51.1
107,end_token,answer_first,nucleus,second_moment,8,Qwen_Qwen2_5_3B_Instruct,0.78,2.6259449183426486,200.0
108,end_token,answer_first,nucleus,second_moment,8,Qwen_Qwen2_5_0_5B_Instruct,0.06,6.096804208937941,200.0
109,end_token,answer_first,nucleus,second_moment,8,Qwen_Qwen3_0_6B,0.02,1.8719162482451563,200.0
110,end_token,answer_first,nucleus,second_moment,8,Qwen_Qwen3_1_7B,0.48,0.36584127902648295,200.0
111,end_token,answer_first,nucleus,second_moment,8,Qwen_Qwen3_4B,0.72,1.4936241363036475,200.0
112,end_token,answer_first,top_k,weighted_sum,1,microsoft_phi_4_mini_instruct,0.72,0.0,200.0
113,end_token,answer_first,top_k,weighted_sum,1,microsoft_phi_4_mini_reasoning,0.54,0.0,200.0
114,end_token,answer_first,top_k,weighted_sum,1,Qwen_Qwen2_5_3B_Instruct,0.84,0.0,200.0
115,end_token,answer_first,top_k,weighted_sum,1,Qwen_Qwen2_5_0_5B_Instruct,0.3,0.0,200.0
116,end_token,answer_first,top_k,weighted_sum,1,Qwen_Qwen3_0_6B,0.48,0.0,199.88
117,end_token,answer_first,top_k,weighted_sum,1,Qwen_Qwen3_1_7B,0.64,0.0,200.0
118,end_token,answer_first,top_k,weighted_sum,1,Qwen_Qwen3_4B,0.6,0.0,200.0
119,end_token,answer_first,top_k,weighted_sum,2,microsoft_phi_4_mini_instruct,0.74,0.25546741498284786,199.94
120,end_token,answer_first,top_k,weighted_sum,2,microsoft_phi_4_mini_reasoning,0.62,0.11406271967639343,200.0
121,end_token,answer_first,top_k,weighted_sum,2,Qwen_Qwen2_5_3B_Instruct,0.78,0.19774017353817053,200.0
122,end_token,answer_first,top_k,weighted_sum,2,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.20207487118299858,200.0
123,end_token,answer_first,top_k,weighted_sum,2,Qwen_Qwen3_0_6B,0.4,0.2651751438943112,200.0
124,end_token,answer_first,top_k,weighted_sum,2,Qwen_Qwen3_1_7B,0.62,0.10498358868903754,200.0
125,end_token,answer_first,top_k,weighted_sum,2,Qwen_Qwen3_4B,0.6,0.09324970874039692,200.0
126,end_token,answer_first,top_k,weighted_sum,4,microsoft_phi_4_mini_instruct,0.58,0.3879696879527343,197.3
127,end_token,answer_first,top_k,weighted_sum,4,microsoft_phi_4_mini_reasoning,0.4,0.12997396574562703,200.0
128,end_token,answer_first,top_k,weighted_sum,4,Qwen_Qwen2_5_3B_Instruct,0.86,0.28053748841029646,200.0
129,end_token,answer_first,top_k,weighted_sum,4,Qwen_Qwen2_5_0_5B_Instruct,0.3,0.2980504027520905,200.0
130,end_token,answer_first,top_k,weighted_sum,4,Qwen_Qwen3_0_6B,0.4,0.374505494697928,199.74
131,end_token,answer_first,top_k,weighted_sum,4,Qwen_Qwen3_1_7B,0.62,0.12066780955179877,200.0
132,end_token,answer_first,top_k,weighted_sum,4,Qwen_Qwen3_4B,0.66,0.10335173448165781,200.0
133,end_token,answer_first,top_k,weighted_sum,8,microsoft_phi_4_mini_instruct,0.62,0.4778397083734999,199.12
134,end_token,answer_first,top_k,weighted_sum,8,microsoft_phi_4_mini_reasoning,0.58,0.13516361761015136,200.0
135,end_token,answer_first,top_k,weighted_sum,8,Qwen_Qwen2_5_3B_Instruct,0.82,0.31407444848818267,200.0
136,end_token,answer_first,top_k,weighted_sum,8,Qwen_Qwen2_5_0_5B_Instruct,0.26,0.3543851735600677,200.0
137,end_token,answer_first,top_k,weighted_sum,8,Qwen_Qwen3_0_6B,0.5,0.41090945779051036,200.0
138,end_token,answer_first,top_k,weighted_sum,8,Qwen_Qwen3_1_7B,0.52,0.12232577315152664,200.0
139,end_token,answer_first,top_k,weighted_sum,8,Qwen_Qwen3_4B,0.62,0.10215422127365968,200.0
140,end_token,answer_first,top_k,element_wise_max,1,microsoft_phi_4_mini_instruct,0.7,0.0,200.0
141,end_token,answer_first,top_k,element_wise_max,1,microsoft_phi_4_mini_reasoning,0.6,0.0,200.0
142,end_token,answer_first,top_k,element_wise_max,1,Qwen_Qwen2_5_3B_Instruct,0.8,0.0,200.0
143,end_token,answer_first,top_k,element_wise_max,1,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.0,200.0
144,end_token,answer_first,top_k,element_wise_max,1,Qwen_Qwen3_0_6B,0.52,0.0,199.88
145,end_token,answer_first,top_k,element_wise_max,1,Qwen_Qwen3_1_7B,0.66,0.0,200.0
146,end_token,answer_first,top_k,element_wise_max,1,Qwen_Qwen3_4B,0.56,0.0,200.0
147,end_token,answer_first,top_k,element_wise_max,2,microsoft_phi_4_mini_instruct,0.62,0.49002481570872986,198.3
148,end_token,answer_first,top_k,element_wise_max,2,microsoft_phi_4_mini_reasoning,0.2,0.47010893352115857,118.56
149,end_token,answer_first,top_k,element_wise_max,2,Qwen_Qwen2_5_3B_Instruct,0.2,0.5180980345554981,200.0
150,end_token,answer_first,top_k,element_wise_max,2,Qwen_Qwen2_5_0_5B_Instruct,0.02,0.6068012858501459,196.04
151,end_token,answer_first,top_k,element_wise_max,2,Qwen_Qwen3_0_6B,0.16,0.47926419153895267,194.78
152,end_token,answer_first,top_k,element_wise_max,2,Qwen_Qwen3_1_7B,0.64,0.24823983451134127,65.44
153,end_token,answer_first,top_k,element_wise_max,2,Qwen_Qwen3_4B,0.56,0.15203992582494186,188.06
154,end_token,answer_first,top_k,element_wise_max,4,microsoft_phi_4_mini_instruct,0.74,1.1881169323216993,192.22
155,end_token,answer_first,top_k,element_wise_max,4,microsoft_phi_4_mini_reasoning,0.38,0.9452766749624185,49.9
156,end_token,answer_first,top_k,element_wise_max,4,Qwen_Qwen2_5_3B_Instruct,0.8,1.1100797517486003,200.0
157,end_token,answer_first,top_k,element_wise_max,4,Qwen_Qwen2_5_0_5B_Instruct,0.1,1.1319684894584807,196.78
158,end_token,answer_first,top_k,element_wise_max,4,Qwen_Qwen3_0_6B,0.16,1.0241355080647943,131.64
159,end_token,answer_first,top_k,element_wise_max,4,Qwen_Qwen3_1_7B,0.64,0.27804798744324166,5.96
160,end_token,answer_first,top_k,element_wise_max,4,Qwen_Qwen3_4B,0.58,0.4678745987599621,184.16
161,end_token,answer_first,top_k,element_wise_max,8,microsoft_phi_4_mini_instruct,0.66,1.3861708250687574,197.42
162,end_token,answer_first,top_k,element_wise_max,8,microsoft_phi_4_mini_reasoning,0.44,1.5265328551430637,71.2
163,end_token,answer_first,top_k,element_wise_max,8,Qwen_Qwen2_5_3B_Instruct,0.8,1.3705348534604356,200.0
164,end_token,answer_first,top_k,element_wise_max,8,Qwen_Qwen2_5_0_5B_Instruct,0.2,1.3542289493431583,135.42
165,end_token,answer_first,top_k,element_wise_max,8,Qwen_Qwen3_0_6B,0.22,0.5963463152806178,200.0
166,end_token,answer_first,top_k,element_wise_max,8,Qwen_Qwen3_1_7B,0.64,0.7141258874305112,14.64
167,end_token,answer_first,top_k,element_wise_max,8,Qwen_Qwen3_4B,0.6,0.542973511700368,196.04
168,end_token,answer_first,top_k,dirichlet,1,microsoft_phi_4_mini_instruct,0.72,0.0,200.0
169,end_token,answer_first,top_k,dirichlet,1,microsoft_phi_4_mini_reasoning,0.54,0.0,200.0
170,end_token,answer_first,top_k,dirichlet,1,Qwen_Qwen2_5_3B_Instruct,0.88,0.0,200.0
171,end_token,answer_first,top_k,dirichlet,1,Qwen_Qwen2_5_0_5B_Instruct,0.24,0.0,200.0
172,end_token,answer_first,top_k,dirichlet,1,Qwen_Qwen3_0_6B,0.52,0.0,199.88
173,end_token,answer_first,top_k,dirichlet,1,Qwen_Qwen3_1_7B,0.72,0.0,200.0
174,end_token,answer_first,top_k,dirichlet,1,Qwen_Qwen3_4B,0.66,0.0,200.0
